State,Year,ConsumptionType,ConsumptionValue
California,1996,Consumption.Commercial.Geothermal,481
California,1997,Consumption.Commercial.Geothermal,525
California,1998,Consumption.Commercial.Geothermal,688
California,1999,Consumption.Commercial.Geothermal,538
California,2000,Consumption.Commercial.Geothermal,550
California,2001,Consumption.Commercial.Geothermal,646
California,2002,Consumption.Commercial.Geothermal,660
California,2003,Consumption.Commercial.Geothermal,706
California,2004,Consumption.Commercial.Geothermal,709
California,2005,Consumption.Commercial.Geothermal,735
California,2006,Consumption.Commercial.Geothermal,682
California,2007,Consumption.Commercial.Geothermal,630
California,2008,Consumption.Commercial.Geothermal,532
California,2009,Consumption.Commercial.Geothermal,552
California,2010,Consumption.Commercial.Geothermal,556
California,2011,Consumption.Commercial.Geothermal,659
California,2012,Consumption.Commercial.Geothermal,634
California,2013,Consumption.Commercial.Geothermal,634
California,2014,Consumption.Commercial.Geothermal,634
California,2015,Consumption.Commercial.Geothermal,634
California,2016,Consumption.Commercial.Geothermal,634
California,2017,Consumption.Commercial.Geothermal,634
California,2018,Consumption.Commercial.Geothermal,634
California,2019,Consumption.Commercial.Geothermal,634
Colorado,1960,Consumption.Commercial.Geothermal,0
Colorado,1961,Consumption.Commercial.Geothermal,0
Colorado,1962,Consumption.Commercial.Geothermal,0
Colorado,1963,Consumption.Commercial.Geothermal,0
Colorado,1964,Consumption.Commercial.Geothermal,0
Colorado,1965,Consumption.Commercial.Geothermal,0
Colorado,1966,Consumption.Commercial.Geothermal,0
Colorado,1967,Consumption.Commercial.Geothermal,0
Colorado,1968,Consumption.Commercial.Geothermal,0
Colorado,1969,Consumption.Commercial.Geothermal,0
Colorado,1970,Consumption.Commercial.Geothermal,0
Colorado,1971,Consumption.Commercial.Geothermal,0
Colorado,1972,Consumption.Commercial.Geothermal,0
Colorado,1973,Consumption.Commercial.Geothermal,0
Colorado,1974,Consumption.Commercial.Geothermal,0
Colorado,1975,Consumption.Commercial.Geothermal,0
Colorado,1976,Consumption.Commercial.Geothermal,0
Colorado,1977,Consumption.Commercial.Geothermal,0
Colorado,1978,Consumption.Commercial.Geothermal,0
Colorado,1979,Consumption.Commercial.Geothermal,0
Colorado,1980,Consumption.Commercial.Geothermal,0
Colorado,1981,Consumption.Commercial.Geothermal,0
Colorado,1982,Consumption.Commercial.Geothermal,0
Colorado,1983,Consumption.Commercial.Geothermal,0
Colorado,1984,Consumption.Commercial.Geothermal,0
Colorado,1985,Consumption.Commercial.Geothermal,0
Colorado,1986,Consumption.Commercial.Geothermal,0
Colorado,1987,Consumption.Commercial.Geothermal,0
Colorado,1988,Consumption.Commercial.Geothermal,0
Colorado,1989,Consumption.Commercial.Geothermal,179
Colorado,1990,Consumption.Commercial.Geothermal,179
Colorado,1991,Consumption.Commercial.Geothermal,179
Colorado,1992,Consumption.Commercial.Geothermal,179
Colorado,1993,Consumption.Commercial.Geothermal,179
Colorado,1994,Consumption.Commercial.Geothermal,179
Colorado,1995,Consumption.Commercial.Geothermal,179
Colorado,1996,Consumption.Commercial.Geothermal,179
Colorado,1997,Consumption.Commercial.Geothermal,179
Colorado,1998,Consumption.Commercial.Geothermal,179
Colorado,1999,Consumption.Commercial.Geothermal,213
Colorado,2000,Consumption.Commercial.Geothermal,220
Colorado,2001,Consumption.Commercial.Geothermal,220
Colorado,2002,Consumption.Commercial.Geothermal,220
Colorado,2003,Consumption.Commercial.Geothermal,235
Colorado,2004,Consumption.Commercial.Geothermal,236
Colorado,2005,Consumption.Commercial.Geothermal,245
